country,week,covid_deaths,non_covid_deaths
United States,1,0,60180
United States,2,0,60737
United States,3,0,59366
United States,4,0,59164
United States,5,0,58835
United States,6,0,59484
United States,7,0,58818
United States,8,0,58915
United States,9,1,59334
United States,10,20,59679
United States,11,49,58626
United States,12,533,58694
United States,13,2970,60061
United States,14,9208,63091
United States,15,14894,64207
United States,16,15260,61554
United States,17,14917,58996
United States,18,13161,56144
United States,19,12053,54763
United States,20,9824,54657
United States,21,8275,53359
United States,22,6512,53173
United States,23,5745,53166
United States,24,5008,53030
United States,25,4152,53850
United States,26,3875,54636
United States,27,3666,56165
United States,28,5434,56515
United States,29,5550,57630
United States,30,6536,57714
United States,31,7832,56407
United States,32,7370,56353
United States,33,7122,56525
United States,34,6047,56524
United States,35,6241,54868
United States,36,5811,54436
United States,37,5068,54601
United States,38,5281,54460
United States,39,5344,55273
United States,40,4901,54907
United States,41,5120,56662
United States,42,5146,55503
United States,43,5754,56441
United States,44,5979,57449
United States,45,7283,60309
United States,46,8111,60715
United States,47,11092,60595
United States,48,10770,62541
United States,49,16014,61421
United States,50,17820,64190
United States,51,19257,63687
United States,52,16263,68110
United States,53,18890,68147
United States,1,23023,64073
United States,2,23386,64031
United States,3,21648,62036
United States,4,22049,57153
United States,5,20948,55567
United States,6,17303,54225
United States,7,13216,56301
United States,8,13854,52900
United States,9,11626,52077
United States,10,8475,53416
United States,11,7296,53079
United States,12,6705,54113
United States,13,5642,53106
United States,14,6850,54149
United States,15,5067,54084
United States,16,4965,55321
United States,17,4882,54951
United States,18,4617,54398
United States,19,4048,54436
United States,20,3821,54941
United States,21,4456,52906
United States,22,3271,54188
United States,23,2449,54730
United States,24,2047,55216
United States,25,2106,54828
United States,26,1641,55889
United States,27,1665,55555
United States,28,1889,55364
United States,29,1914,56526
United States,30,2676,57680
United States,31,3506,60297
United States,32,4704,62347
United States,33,7262,62725
United States,34,9208,63005
United States,35,11195,62331
United States,36,11914,61838
United States,37,14142,59195
United States,38,14645,57550
United States,39,13739,57638
United States,40,11670,57493
United States,41,11696,55858
United States,42,11591,55481
United States,43,9301,57185
United States,44,8542,58087
United States,45,8484,58985
United States,46,8112,58884
United States,47,5771,62230
United States,48,12208,57982
United States,49,9167,62990
United States,50,9349,62010
United States,51,10442,61914
United States,52,9505,64929
United States,1,12286,67388
United States,2,14387,70577
United States,3,15243,70314
United States,4,17641,67289
United States,5,17534,63747
United States,6,16878,60327
United States,7,15578,55387
United States,8,12239,53851
United States,9,9999,54480
United States,10,9050,52835
United States,11,6958,53639
United States,12,5445,53172
United States,13,4759,53234
United States,14,3876,53879
United States,15,3136,54527
United States,16,2673,54052
United States,17,2400,54900
United States,18,3901,53520
United States,19,1868,55996
United States,20,2461,55062
United States,21,2607,54352
United States,22,1956,55589
United States,23,2770,54940
Tunisia,1,0,1699
Tunisia,2,0,1618
Tunisia,3,0,1772
Tunisia,4,0,1783
Tunisia,5,0,1758
Tunisia,6,0,1761
Tunisia,7,0,1717
Tunisia,8,0,1622
Tunisia,9,0,1523
Tunisia,10,0,1453
Tunisia,11,0,1387
Tunisia,12,3,1428
Tunisia,13,5,1390
Tunisia,14,14,1282
Tunisia,15,9,1254
Tunisia,16,7,1146
Tunisia,17,0,1087
Tunisia,18,4,1105
Tunisia,19,3,1080
Tunisia,20,0,1080
Tunisia,21,3,1084
Tunisia,22,0,1043
Tunisia,23,1,1082
Tunisia,24,0,1087
Tunisia,25,1,1090
Tunisia,26,0,1263
Tunisia,27,0,1164
Tunisia,28,0,1164
Tunisia,29,0,1127
Tunisia,30,0,1212
Tunisia,31,1,1474
