Sex,Age Years,Total deaths,COVID-19 Deaths
Female,0-05 Months,26187,148
Female,01 Year,2107,51
Female,02 Years,1343,24
Female,03 Years,1043,17
Female,04 Years,842,28
Female,05 Years,762,17
Female,06 Years,703,21
Female,06-11 Months,2284,61
Female,07 Years,675,19
Female,08 Years,645,15
Female,09 Years,604,22
Female,10 Years,650,20
Female,11 Years,691,21
Female,12 Years,887,23
Female,13 Years,1057,37
Female,14 Years,1245,36
Female,15 Years,1461,55
Female,16 Years,1836,43
Female,17 Years,2191,69
Female,18 Years,2760,72
Female,19 Years,3040,108
Female,20 Years,3399,130
Female,21 Years,3777,125
Female,22 Years,3930,198
Female,23 Years,4325,192
Female,24 Years,4500,213
Female,25 Years,4992,260
Female,26 Years,5295,282
Female,27 Years,5832,333
Female,28 Years,6292,355
Female,29 Years,7104,417
Female,30 Years,7646,547
Female,31 Years,8031,569
Female,32 Years,8580,630
Female,33 Years,9149,637
Female,34 Years,9395,688
Female,35 Years,9755,744
Female,36 Years,10297,796
Female,37 Years,10935,840
Female,38 Years,11572,1005
Female,39 Years,12345,1060
Female,40 Years,13024,1208
Female,41 Years,13671,1230
Female,42 Years,14130,1409
Female,43 Years,14569,1492
Female,44 Years,15119,1582
Female,45 Years,15833,1648
Female,46 Years,16855,1855
Female,47 Years,18105,1931
Female,48 Years,19808,2259
Female,49 Years,22209,2519
Female,50 Years,24690,2768
Female,51 Years,26510,2870
Female,52 Years,28223,3064
Female,53 Years,29796,3225
Female,54 Years,32250,3565
Female,55 Years,35995,3933
Female,56 Years,40029,4442
Female,57 Years,44858,4795
Female,58 Years,48481,5364
Female,59 Years,53775,5846
Female,60 Years,57725,6277
Female,61 Years,61948,6787
Female,62 Years,65923,7336
Female,63 Years,70239,7880
Female,64 Years,73675,8350
Female,65 Years,76836,8695
Female,66 Years,79457,8800
Female,67 Years,81875,8992
Female,68 Years,85138,9552
Female,69 Years,88638,9938
Female,70 Years,93038,10117
Female,71 Years,97675,10792
Female,72 Years,104226,11423
Female,73 Years,112582,12113
Female,74 Years,115349,12591
Female,75 Years,114583,11816
Female,76 Years,113612,11854
Female,77 Years,120119,12641
Female,78 Years,126571,13177
Female,79 Years,129250,12935
Female,80 Years,130249,12856
Female,81 Years,131050,12993
Female,82 Years,134819,13444
Female,83 Years,138388,13563
Female,84 Years,142323,13759
Female,85 Years and over,1882492,169496
Male,0-05 Months,32172,187
Male,01 Year,2648,69
Male,02 Years,1762,27
Male,03 Years,1397,29
Male,04 Years,1119,11
Male,05 Years,1048,20
Male,06 Years,909,20
Male,06-11 Months,2929,70
Male,07 Years,802,17
Male,08 Years,762,21
Male,09 Years,794,32
Male,10 Years,879,23
Male,11 Years,1003,19
Male,12 Years,1109,29
Male,13 Years,1608,35
Male,14 Years,2217,27
Male,15 Years,3043,58
Male,16 Years,4191,62
Male,17 Years,5683,86
Male,18 Years,7728,118
Male,19 Years,9038,155
Male,20 Years,9487,176
Male,21 Years,10685,215
Male,22 Years,11281,238
Male,23 Years,11646,288
Male,24 Years,12331,365
Male,25 Years,13202,362
Male,26 Years,14045,436
Male,27 Years,15096,523
Male,28 Years,16145,622
Male,29 Years,17475,724
Male,30 Years,18327,776
Male,31 Years,19132,886
Male,32 Years,19569,948
Male,33 Years,19860,1040
Male,34 Years,20055,1165
Male,35 Years,20541,1204
Male,36 Years,21301,1314
Male,37 Years,22104,1490
Male,38 Years,22533,1547
Male,39 Years,23991,1734
Male,40 Years,24783,1792
Male,41 Years,25381,2053
Male,42 Years,25567,2208
Male,43 Years,26194,2358
Male,44 Years,26894,2706
Male,45 Years,27648,2870
Male,46 Years,28859,3124
Male,47 Years,30824,3397
Male,48 Years,33761,3884
Male,49 Years,37297,4255
Male,50 Years,41494,4887
Male,51 Years,44321,5186
Male,52 Years,47254,5593
Male,53 Years,49709,5669
Male,54 Years,53853,6153
Male,55 Years,59508,6733
Male,56 Years,66015,7579
Male,57 Years,72107,7943
Male,58 Years,79124,8511
Male,59 Years,85131,9444
Male,60 Years,91816,10165
Male,61 Years,97019,10651
Male,62 Years,102329,11407
Male,63 Years,108103,11963
Male,64 Years,112581,12441
Male,65 Years,115303,13031
Male,66 Years,117745,13286
Male,67 Years,120054,13470
Male,68 Years,122749,14157
Male,69 Years,124316,14435
Male,70 Years,127803,15026
Male,71 Years,130868,15356
Male,72 Years,135702,16293
Male,73 Years,144051,17392
Male,74 Years,143541,17304
Male,75 Years,140371,16394
Male,76 Years,135132,16110
Male,77 Years,139951,16944
Male,78 Years,144593,17436
Male,79 Years,144277,17074
Male,80 Years,140042,16662
Male,81 Years,137324,16078
Male,82 Years,136205,15990
Male,83 Years,136166,16059
Male,84 Years,134232,15448
Male,85 Years and over,1224790,133665
