Jurisdiction of Occurrence,Natural Cause,Septicemia,Malignant Neoplasms,Diabetes Mellitus,Alzheimer Disease,,Chronic Lower Respiratory Diseases,Other Diseases of Respiratory System,"Nephritis, Nephrotic Syndrome and Nephrosis","Symptoms, Signs and Abnormal Clinical and Laboratory Findings, Not Elsewhere Classified",Diseases of Heart,Cerebrovascular Diseases,Accidents (Unintentional Injuries),Motor Vehicle Accidents,Intentional Self-Harm (Suicide),Assault (Homicide),Drug Overdose,COVID-19 
United States,242914,3687,52635,8234,11122,6656,15533,4497,4886,2755,60896,14113,15012,2914,4040,1708,6547,6
United States,224343,3324,48764,7766,10444,6147,14267,4067,4507,2599,56851,12818,14497,2910,3672,1471,6435,25
United States,247634,3669,51640,8433,11385,7579,15284,4499,4727,2808,60229,13742,15444,2874,3952,1693,7268,7175
United States,300780,3366,48773,9440,12307,5781,13765,4026,4476,2826,62285,13420,15493,2569,3480,1756,7938,65553
United States,255489,3085,49012,8361,10706,3612,12064,3489,4122,2524,56561,12776,18205,3365,3769,2067,9466,38330
United States,225455,3036,47962,7629,9954,3074,10935,3281,4006,2496,53590,12315,17784,4026,3985,2261,8212,18026
United States,252481,3127,50626,8641,11024,3333,11673,3309,4262,2887,57193,13024,18823,4107,4184,2426,8583,31135
United States,251071,3268,51209,8302,10966,3209,11516,3391,4231,2793,56245,13094,18762,4226,4055,2348,8351,29913
United States,232827,3136,49671,7994,10471,3083,11066,3303,3990,2583,53889,12771,17234,4083,3925,2191,7589,19158
United States,249366,3250,51255,8316,11066,3339,11599,3558,4237,2687,56898,13615,17262,4192,3804,2368,7486,24930
United States,278769,3388,49658,8887,11631,3538,12006,3641,4404,2842,58308,13557,16818,3802,3716,2242,7417,53250
United States,342681,3778,51907,10305,13195,4284,13055,4099,4750,3241,65414,15271,17699,3586,3581,2230,7760,98175
United States,348017,3688,51602,10254,12781,4245,12792,4141,5237,2886,65336,15112,18467,3446,3893,2154,8858,105552
United States,259720,3366,46084,8504,9974,3377,10826,3556,4390,2478,56164,13143,16384,2814,3568,1826,7761,48565
United States,245457,3392,50318,8623,9853,3333,11496,3757,4562,2622,57732,13689,18505,3540,3992,1935,9339,23265
United States,231263,3046,49280,8124,8899,3057,11002,3507,4286,2536,55127,13144,18900,3904,3720,2068,9490,18802
United States,231635,3111,50587,8021,9156,2926,11369,3713,4303,2585,55420,13129,19139,4123,4093,2361,9334,14988
United States,218347,3158,49258,7766,8804,2839,11191,3587,4125,2685,53632,12478,19472,4147,4077,2296,9073,8020
United States,230220,3419,51281,7841,9056,3121,11754,3740,4291,2886,55368,13065,20078,4267,4090,2407,9441,11220
United States,276341,3405,52355,8731,9739,3412,12189,3842,4415,3141,58456,13307,19943,4370,4366,2304,9415,48812
United States,285695,3544,50314,8689,9968,3534,11809,3801,4538,3151,56766,13211,19278,4303,4232,2272,8994,63431
United States,273380,3763,52119,8592,9981,3675,12178,3971,4566,3070,58660,13972,19170,4513,4267,2332,8809,42602
United States,263564,3615,50326,8781,10382,3814,12179,4066,4574,3222,59239,13989,18503,4017,3952,2022,8325,32327
United States,293773,3834,52506,9493,10849,4679,13664,4272,5145,3736,64870,14875,19148,3955,3898,2136,8626,45619
United States,343504,4021,53152,11040,12753,4915,14579,4571,5847,3317,71386,16347,19283,3522,4146,2026,8999,83958
United States,265881,3327,46285,8481,10458,3546,11681,3777,4902,2756,57921,13805,17674,3257,3804,1834,8522,50214
United States,242563,3556,50965,8583,9531,3492,12207,4016,5069,2891,58704,13925,18819,3650,4095,1948,9202,15603
United States,221800,3291,48915,7728,8941,3298,11562,3774,4596,2806,55224,13217,17508,3486,4018,2051,8545,6258
United States,228966,3351,50661,7877,9390,3410,12053,3789,4623,2927,56297,13224,18474,3943,4379,2223,8781,7623
United States,222622,3280,49214,7688,9041,3152,11407,3694,4498,3019,54361,12687,19016,3959,4250,2217,8806,9514
United States,233296,3367,51212,7958,9430,3060,11223,3912,4545,3418,56422,13284,20086,4183,4318,2329,9346,13353
United States,233302,3317,51592,7688,9409,2906,11233,3760,4505,3931,55486,13227,18988,4169,4281,2179,8777,14091
United States,226382,3351,50302,7603,9133,2948,11059,3761,4510,4293,53720,12944,,,,,,11079
United States,240479,3506,52056,8374,10224,3366,12069,4011,4750,5486,57320,13873,,,,,,9660
United States,245460,3676,51036,8404,10228,4780,12851,4197,4747,6900,58522,13857,,,,,,9929
United States,277414,4134,53232,9488,11509,7816,15136,4788,5316,9951,65348,14977,,,,,,14160
United States,266690,3973,51911,8616,10862,5804,13962,4652,5099,13131,60477,14727,,,,,,14681
United States,220123,3051,45406,7066,8936,3461,11363,3765,4182,14286,49699,12076,,,,,,8411
United States,85423,1254,18261,2386,3617,1249,4542,1550,1559,5855,19090,4757,,,,,,2719
