Jurisdiction of Occurrence,Natural Cause,Septicemia (A40-A41),Malignant neoplasms (C00-C97),Diabetes mellitus (E10-E14),Alzheimer disease (G30),Influenza and pneumonia (J09-J18),Chronic lower respiratory diseases (J40-J47),"Other diseases of respiratory system (J00-J06,J30-J39,J67,J70-J98)","Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)","Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)","Diseases of heart (I00-I09,I11,I13,I20-I51)",Cerebrovascular diseases (I60-I69),COVID-19 
United States,55005,843,11567,1829,2537,1559,3500,1068,1094,630,14202,3110,0
United States,55754,861,11962,1942,2566,1528,3708,1035,1092,649,13911,3189,1
United States,54517,829,11702,1819,2491,1484,3526,992,1121,612,13593,3256,2
United States,54401,828,11879,1864,2517,1488,3403,979,1107,638,13612,3185,3
United States,54006,811,11963,1828,2480,1411,3314,981,1074,616,13467,3084,0
United States,54411,806,11704,1957,2515,1463,3413,975,1135,600,14001,3056,4
United States,53969,792,11807,1848,2537,1515,3477,979,1070,613,13641,3089,6
United States,53987,779,11780,1880,2515,1462,3454,968,1059,608,13632,3083,6
United States,54321,814,11790,1831,2519,1508,3460,1011,1092,676,13718,3126,9
United States,54386,811,11712,1867,2511,1608,3470,1002,1071,654,13684,3097,38
United States,53530,756,11568,1743,2445,1641,3390,993,1078,643,13437,3165,60
United States,54301,840,11732,1830,2514,1740,3384,1021,1105,617,13203,3066,588
United States,58253,846,11782,2045,2749,1783,3520,1064,1024,630,13719,3067,3226
United States,67445,948,11592,2298,2871,1849,3538,1027,1038,689,14945,3165,10141
United States,74003,833,11549,2354,2963,1613,3441,1017,1120,664,15761,3191,16347
United States,71895,745,11210,2270,2899,1232,3195,916,1098,668,14570,3204,17221
United States,68750,735,11367,2085,2804,1138,2994,887,987,675,13864,3058,15557
United States,63930,739,11097,1935,2727,1009,2928,851,961,548,13003,3042,13223
United States,61173,720,11014,1972,2498,864,2808,855,938,587,13170,2849,11243
United States,58987,679,11269,1969,2432,857,2770,787,976,563,12743,2958,9239
United States,56005,713,11116,1834,2417,804,2675,743,917,569,12788,2827,7249
United States,53987,654,10903,1813,2261,751,2634,759,893,576,12448,2851,6176
United States,52924,729,11083,1727,2302,701,2563,779,904,554,12463,2791,5060
United States,52286,693,11130,1741,2326,700,2503,737,923,589,12421,2838,4233
United States,52211,685,11157,1792,2362,756,2563,761,933,611,12412,2923,3852
United States,52643,719,11356,1766,2288,722,2539,775,952,575,12515,2959,3846
United States,53803,682,11298,1933,2362,658,2623,780,985,591,12869,2832,4557
United States,55858,764,11333,1954,2472,739,2615,751,915,668,13042,2921,5786
United States,57140,708,11373,1887,2501,767,2647,712,984,666,12868,2982,7198
United States,58386,683,11553,1957,2510,781,2559,730,969,672,12933,2913,8250
United States,58275,689,11514,1989,2502,760,2737,779,961,624,12834,2989,8308
United States,57822,785,11529,1797,2434,782,2594,730,909,671,12819,3036,7870
United States,57747,736,11703,1895,2527,754,2656,798,969,637,12843,2946,7270
United States,56595,735,11517,1935,2566,697,2642,783,967,624,12769,2930,6389
United States,55345,726,11578,1883,2430,678,2560,745,983,610,12482,2994,5755
United States,54238,701,11376,1837,2506,733,2552,801,929,568,12513,2862,5021
United States,53942,697,11468,1899,2330,681,2560,748,928,604,12355,3046,4628
United States,54127,744,11630,1861,2373,716,2518,778,921,624,12692,2948,4280
United States,55069,764,11863,1843,2499,724,2672,786,923,592,12715,3077,4305
United States,54099,718,11424,1895,2413,763,2578,719,944,646,12651,2886,4246
United States,55933,757,11829,1895,2515,726,2614,798,958,621,12810,3123,4823
United States,55215,776,11321,1845,2538,724,2599,815,1023,600,12589,3039,5204
United States,56847,728,11677,1835,2572,766,2698,796,944,604,12870,3078,6000
United States,58053,699,11528,1937,2460,793,2569,833,921,579,13154,3104,7031
United States,61757,765,11808,1961,2664,801,2897,814,1028,674,13686,3159,8766
United States,63215,795,11745,2025,2737,847,2753,858,1022,593,13467,3175,10654
United States,66245,819,11633,2117,2656,831,2815,857,1032,686,13644,3215,13365
United States,67907,773,11395,2156,2774,810,2755,861,1043,687,13560,3127,15628
United States,71976,844,11358,2214,2843,916,2835,903,1035,702,14303,3313,18578
United States,76426,836,11904,2303,2934,953,3032,969,1086,722,14576,3479,20940
United States,77523,840,11781,2356,3060,948,2948,920,1020,713,14757,3468,22342
United States,78732,858,11694,2330,2982,978,2862,922,1124,773,14849,3385,23400
United States,81119,894,11694,2448,3075,1011,3060,904,1111,712,15230,3509,24892
United States,81201,854,11340,2377,2946,1025,2956,936,1160,658,15103,3372,26027
United States,81622,828,11852,2473,2996,998,2939,963,1224,679,15012,3535,25738
United States,78116,839,11582,2217,2931,924,2816,899,1188,658,14626,3451,23730
United States,73653,783,11694,2183,2650,903,2783,954,1165,618,14306,3295,20362
United States,70618,833,11607,2106,2598,843,2861,926,1133,672,14426,3325,17067
United States,65885,833,11489,2092,2397,856,2656,895,1113,606,13972,3402,13550
United States,63964,821,11416,2304,2495,880,2702,863,1070,625,14269,3194,10834
United States,60968,868,11615,2003,2484,794,2622,891,1084,584,13614,3220,8674
United States,57930,791,11438,1982,2306,842,2580,815,1068,574,13317,3183,6742
United States,56218,839,11418,1915,2300,782,2638,857,1021,582,13224,3097,5733
United States,54422,767,11297,1986,2184,751,2555,850,991,613,12787,3090,4911
United States,54983,741,11425,1922,2252,695,2678,842,1034,608,13113,3127,4464
United States,52889,702,11099,1945,2049,704,2516,847,1013,598,12568,2954,4213
United States,54675,713,11570,1905,2186,752,2617,782,1040,624,12971,3063,4325
United States,53235,685,11389,1809,1966,684,2473,773,980,594,12814,3114,4461
United States,54276,729,11580,1907,2039,703,2566,864,981,573,12999,3102,4614
United States,54013,707,11621,1911,2125,692,2618,839,997,560,12832,2945,4180
United States,52987,700,11362,1895,2098,699,2585,843,917,585,12690,2982,4015
United States,52587,690,11542,1871,2015,670,2523,836,967,582,12431,2978,3694
United States,52630,711,11601,1717,2165,641,2622,865,971,603,12408,3012,3245
United States,51391,726,11276,1785,2009,659,2571,835,1023,586,12491,2926,2783
United States,51170,701,11497,1739,2040,634,2581,799,957,588,12463,2869,2353
United States,50783,738,11356,1815,2092,672,2617,820,956,591,12448,2866,2048
United States,50975,726,11531,1806,2095,641,2581,875,995,597,12606,2919,1783
United States,50733,747,11501,1856,1981,692,2645,898,947,654,12412,2961,1639
United States,51144,752,11582,1824,2053,625,2643,820,975,666,12610,3017,1548
United States,50732,772,11511,1726,1972,714,2602,881,998,650,12504,2882,1650
United States,51103,775,11581,1778,2025,719,2721,840,955,629,12242,2963,1995
United States,52271,780,11542,1797,2038,686,2680,783,942,692,12467,2996,2770
United States,54154,771,11652,1772,2137,746,2591,842,982,656,12786,2918,4126
United States,57389,771,11793,1914,2158,736,2825,822,998,621,12921,2989,6500
United States,60851,803,11996,2015,2156,774,2711,867,946,762,13199,2965,9424
United States,63769,764,11882,1952,2193,776,2794,861,1032,708,13146,3068,12205
United States,65911,743,11780,2011,2274,812,2732,931,1039,728,13421,2990,14208
United States,67237,774,11733,2009,2316,751,2706,841,1041,753,13408,3079,15536
United States,67320,832,11534,2042,2262,868,2692,901,1045,759,13446,3129,15449
United States,67119,827,11845,2034,2379,839,2805,925,1059,717,13157,3056,15243
United States,66027,813,11743,2017,2320,818,2747,868,1043,707,13068,3086,14375
United States,65107,888,11901,1979,2304,843,2757,894,1064,744,13248,3065,12856
United States,63023,843,11746,1958,2272,794,2765,866,982,696,13255,3119,11196
United States,61606,848,11699,1873,2168,860,2787,885,1037,669,13190,3104,9902
United States,61156,877,11752,1895,2296,803,2736,943,1018,679,13212,3176,8957
United States,60493,817,11749,2023,2285,843,2690,873,1070,702,13360,3196,7974
United States,60292,816,11710,2020,2316,908,2893,939,1076,736,13422,3242,7302
United States,61495,832,11918,2066,2483,829,2791,955,1069,789,13788,3278,7174
United States,61055,815,11650,2008,2421,913,2809,933,1073,720,13822,3205,7326
United States,62180,902,11717,2082,2444,882,2861,944,1031,759,14009,3314,7897
United States,64114,891,11863,2068,2401,948,2904,934,1171,823,14275,3395,8792
United States,66102,817,12100,2120,2384,1053,3091,991,1102,800,14661,3360,9745
United States,65423,859,11672,2132,2432,998,3056,988,1123,775,14378,3357,10267
United States,66513,859,11853,2108,2542,1080,3145,970,1168,864,14747,3317,10474
United States,68512,908,11673,2297,2497,1143,3180,961,1246,923,15019,3351,11695
United States,73818,959,11972,2420,2617,1224,3405,1056,1311,752,16150,3484,15146
United States,79072,946,12269,2546,3006,1127,3320,1069,1339,730,16519,3791,19123
United States,79752,863,11962,2593,2945,1090,3222,996,1348,754,16186,3827,21385
United States,79230,873,11913,2463,2980,1035,3269,1036,1285,741,16071,3758,21005
United States,75097,839,11737,2423,2951,967,3110,967,1274,654,15449,3532,18773
United States,70891,835,11820,2218,2742,939,3027,952,1278,707,14938,3620,15331
United States,64787,842,11626,2008,2499,815,2879,941,1189,678,14328,3359,11567
United States,60168,812,11243,1930,2410,855,2790,896,1186,661,13662,3352,8291
United States,58363,844,11545,2029,2310,866,2777,970,1195,646,13653,3302,6048
United States,55831,802,11499,1942,2177,787,2767,890,1200,607,13486,3217,4402
United States,54609,783,11551,1963,2141,784,2829,949,1090,663,13409,3105,3126
United States,52953,827,11405,1916,2105,770,2685,855,1137,639,12904,3046,2509
United States,52372,769,11487,1799,2053,745,2717,921,1116,635,12824,3106,1909
United States,52064,752,11423,1865,2107,777,2720,872,1113,618,13064,3030,1556
United States,52090,783,11467,1813,2136,807,2688,909,1034,687,12989,3073,1407
United States,51132,731,11308,1774,2039,732,2663,852,1055,610,12806,3137,1349
United States,51614,798,11410,1801,2083,777,2711,873,1067,651,12770,3076,1426
United States,51669,716,11257,1836,2150,759,2844,891,1047,676,12872,2966,1433
United States,52052,799,11604,1809,2097,783,2657,847,1022,647,12965,2966,1672
United States,51866,806,11664,1727,2060,797,2804,814,1082,603,12631,2985,1747
United States,51436,713,11361,1766,2158,742,2637,858,1037,628,12437,2995,1942
United States,51598,743,11339,1769,2170,781,2724,892,1041,668,12579,2979,2005
United States,52007,768,11639,1727,2166,734,2632,863,1042,694,12737,2968,2136
United States,51731,744,11200,1843,2081,768,2676,869,1031,622,12765,2991,2196
United States,52218,771,11566,1829,2053,698,2671,838,1084,709,12746,2979,2327
United States,52035,789,11655,1796,2115,705,2563,871,1019,695,12675,2974,2425
